"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple",,"GTWCH12-RF00-RB",0,"悠閒假日卡其小短褲-12-18月","ruffle-butts-khaki-weekend-shorts-12-18m","Use config","Use config","Block after Info Column","ruffle-butts-khaki-weekend-shorts-12-18m.html","12-18月",,,"India",730,876,,1,635,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>純棉舒適，柔軟好穿</li> <li>精緻荷葉綴飾，休閒打扮不失俏麗可愛</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","經典的卡其色休閒短褲，100%棉質，舒適好穿。俏麗的皺褶滾邊設計，讓寶貝在休閒風格中，不失清新可愛。便利的調節式腰帶，增加小短褲的穿著年限。別忘了洗滌前要先將調節腰帶扣好喔！",,"100%棉","可機洗,低溫烘乾/請先將調整腰帶扣好後再洗滌",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,0,1,"悠閒假日卡其小短褲-12-18月",0,"simple",,
"admin","base","Default","simple",,"GTWCH18-RF00-RB",0,"悠閒假日卡其小短褲-18-24月","ruffle-butts-khaki-weekend-shorts-18-24m","Use config","Use config","Block after Info Column","ruffle-butts-khaki-weekend-shorts-18-24m.html","18-24月 ",,,"India",730,876,,1,635,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>純棉舒適，柔軟好穿</li> <li>精緻荷葉綴飾，休閒打扮不失俏麗可愛</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","經典的卡其色休閒短褲，100%棉質，舒適好穿。俏麗的皺褶滾邊設計，讓寶貝在休閒風格中，不失清新可愛。便利的調節式腰帶，增加小短褲的穿著年限。別忘了洗滌前要先將調節腰帶扣好喔！",,"100%棉","可機洗,低溫烘乾/請先將調整腰帶扣好後再洗滌",2,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,0,1,"悠閒假日卡其小短褲-18-24月",0,"simple",,
"admin","base","Default","simple",,"GTWCH2T-RF00-RB",0,"悠閒假日卡其小短褲-2-3歲","ruffle-butts-khaki-weekend-shorts-2t","Use config","Use config","Block after Info Column","ruffle-butts-khaki-weekend-shorts-2t.html","2-3歲",,,"India",730,876,,1,635,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>純棉舒適，柔軟好穿</li> <li>精緻荷葉綴飾，休閒打扮不失俏麗可愛</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","經典的卡其色休閒短褲，100%棉質，舒適好穿。俏麗的皺褶滾邊設計，讓寶貝在休閒風格中，不失清新可愛。便利的調節式腰帶，增加小短褲的穿著年限。別忘了洗滌前要先將調節腰帶扣好喔！",,"100%棉","可機洗,低溫烘乾/請先將調整腰帶扣好後再洗滌",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"悠閒假日卡其小短褲-2-3歲",0,"simple",,
"admin","base","Default","simple",,"GTWCH3T-RF00-RB",0,"悠閒假日卡其小短褲-3-4歲","ruffle-butts-khaki-weekend-shorts-3t","Use config","Use config","Block after Info Column","ruffle-butts-khaki-weekend-shorts-3t.html","3-4歲",,,"India",730,876,,1,635,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>純棉舒適，柔軟好穿</li> <li>精緻荷葉綴飾，休閒打扮不失俏麗可愛</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","經典的卡其色休閒短褲，100%棉質，舒適好穿。俏麗的皺褶滾邊設計，讓寶貝在休閒風格中，不失清新可愛。便利的調節式腰帶，增加小短褲的穿著年限。別忘了洗滌前要先將調節腰帶扣好喔！",,"100%棉","可機洗,低溫烘乾/請先將調整腰帶扣好後再洗滌",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"悠閒假日卡其小短褲-3-4歲",0,"simple",,
"admin","base","Default","simple",,"ONKTE00-TES0-RB",0,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-0-3月","ruffle-butts-teal-satin-ruffle-front-one-piece-0-3m","Use config","Use config","Block after Info Column","ruffle-butts-teal-satin-ruffle-front-one-piece-0-3m.html","0-3月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>荷葉屁屁裝飾與領口波浪綢緞，造型獨特、可愛吸睛</li> <li>純棉材質、舒適透氣，可內搭打底褲或外搭蓬蓬裙</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","「哇！怎麼有那麼可愛的連身包屁衣！」不但有活潑的荷葉屁屁裝飾，領口前方還有柔滑的緞面波浪呢！重點是，純棉的舒適材質，穿起來透氣輕柔無負擔。不論是單穿這一件荷葉緞飾屁屁衣或外搭蓬蓬紗裙，俏麗的設計讓寶貝隨時都是路上的小嬌點喔！",,"100%棉","可機洗",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-0-3月",0,"simple",,
"admin","base","Default","simple",,"ONKTE03-TES0-RB",0,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-3-6月","ruffle-butts-teal-satin-ruffle-front-one-piece-3-6m","Use config","Use config","Block after Info Column","ruffle-butts-teal-satin-ruffle-front-one-piece-3-6m.html","3-6月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>荷葉屁屁裝飾與領口波浪綢緞，造型獨特、可愛吸睛</li> <li>純棉材質、舒適透氣，可內搭打底褲或外搭蓬蓬裙</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","「哇！怎麼有那麼可愛的連身包屁衣！」不但有活潑的荷葉屁屁裝飾，領口前方還有柔滑的緞面波浪呢！重點是，純棉的舒適材質，穿起來透氣輕柔無負擔。不論是單穿這一件荷葉緞飾屁屁衣或外搭蓬蓬紗裙，俏麗的設計讓寶貝隨時都是路上的小嬌點喔！",,"100%棉","可機洗",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-3-6月",0,"simple",,
"admin","base","Default","simple",,"ONKTE06-TES0-RB",0,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-6-12月","ruffle-butts-teal-satin-ruffle-front-one-piece-6-12m","Use config","Use config","Block after Info Column","ruffle-butts-teal-satin-ruffle-front-one-piece-6-12m.html","6-12月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>荷葉屁屁裝飾與領口波浪綢緞，造型獨特、可愛吸睛</li> <li>純棉材質、舒適透氣，可內搭打底褲或外搭蓬蓬裙</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","「哇！怎麼有那麼可愛的連身包屁衣！」不但有活潑的荷葉屁屁裝飾，領口前方還有柔滑的緞面波浪呢！重點是，純棉的舒適材質，穿起來透氣輕柔無負擔。不論是單穿這一件荷葉緞飾屁屁衣或外搭蓬蓬紗裙，俏麗的設計讓寶貝隨時都是路上的小嬌點喔！",,"100%棉","可機洗",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-6-12月",0,"simple",,
"admin","base","Default","simple",,"ONKTE12-TES0-RB",0,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-12-18月","ruffle-butts-teal-satin-ruffle-front-one-piece-12-18m","Use config","Use config","Block after Info Column","ruffle-butts-teal-satin-ruffle-front-one-piece-12-18m.html","12-18月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>荷葉屁屁裝飾與領口波浪綢緞，造型獨特、可愛吸睛</li> <li>純棉材質、舒適透氣，可內搭打底褲或外搭蓬蓬裙</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","「哇！怎麼有那麼可愛的連身包屁衣！」不但有活潑的荷葉屁屁裝飾，領口前方還有柔滑的緞面波浪呢！重點是，純棉的舒適材質，穿起來透氣輕柔無負擔。不論是單穿這一件荷葉緞飾屁屁衣或外搭蓬蓬紗裙，俏麗的設計讓寶貝隨時都是路上的小嬌點喔！",,"100%棉","可機洗",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-12-18月",0,"simple",,
"admin","base","Default","simple",,"ONKTE18-TES0-RB",0,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-18-24月","ruffle-butts-teal-satin-ruffle-front-one-piece-18-24m","Use config","Use config","Block after Info Column","ruffle-butts-teal-satin-ruffle-front-one-piece-18-24m.html","18-24月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>荷葉屁屁裝飾與領口波浪綢緞，造型獨特、可愛吸睛</li> <li>純棉材質、舒適透氣，可內搭打底褲或外搭蓬蓬裙</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li> ","「哇！怎麼有那麼可愛的連身包屁衣！」不但有活潑的荷葉屁屁裝飾，領口前方還有柔滑的緞面波浪呢！重點是，純棉的舒適材質，穿起來透氣輕柔無負擔。不論是單穿這一件荷葉緞飾屁屁衣或外搭蓬蓬紗裙，俏麗的設計讓寶貝隨時都是路上的小嬌點喔！",,"100%棉","可機洗",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,0,1,"超吸睛!荷葉緞飾連身屁屁衣-藍綠-18-24月",0,"simple",,
"admin","base","Default","simple",,"ONMPI12-USLS-RB",0,"百搭!粉紅荷葉袖-連身包屁衣-18-24月","ruffle-butts-pink-ruffled-long-sleeve-under-one-piece-18-24m","Use config","Use config","Block after Info Column","ruffle-butts-pink-ruffled-long-sleeve-under-one-piece-18-24m.html","18-24月",,,"India",840,1020,,1,732,,"Catalog, Search","No","Yes","No","Enabled","Ruffle Butts","None","<li>輕柔舒適，彈性好穿</li> <li>可愛荷葉袖口，搭配蓬裙或短褲，展現不同俏麗風格</li> <li>可洗衣機水洗、不用特別照護，忙碌媽咪的最佳選擇</li>","每日必備的居家貼身衣物，棉與莫代爾混紡材質，彈性佳且穿起來輕柔舒適，最適合寶貝細緻的肌膚。甜美的粉紅色系與袖口可愛的荷葉綴飾，日常穿搭不失小小女孩的清新俏麗。搭配蓬蓬裙或是RuffleButts卡其短褲就可創造出兩種不同的甜美風格！",,"50%棉50%莫代爾","可機洗,低溫烘乾",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"百搭!粉紅荷葉袖-連身包屁衣-18-24月",0,"simple",,
