"store","websites","attribute_set","type","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","I2-821-306-NB-UN",0,"有機認證埃及棉-側綁嬰兒衣褲組(粉)","under-the-nile-side-tie-layette-set-hello-goodbye-print-blush","Use config","Use config","Block after Info Column","under-the-nile-side-tie-layette-set-hello-goodbye-print-blush.html",,,,"United States",920,1058,,1,838,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>上衣側綁，袖口可反摺包覆</li>
<li>連腳套長褲可保護寶寶腿部，腳部與小腳丫</li>
<li>彈性佳的腰部設計不會太緊且不易鬆落</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","適合嬰幼兒日常家居穿著，質感柔軟，舒適透氣且吸汗，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,"100%埃及認證有機棉",,3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側綁嬰兒衣褲組(粉)",0,"simple",,
"admin","base","Default","simple","I2-821-307-NB-UN",0,"有機認證埃及棉-側綁嬰兒衣褲組(藍)","under-the-nile-side-tie-layette-set-hello-goodbye-ice-blue","Use config","Use config","Block after Info Column","under-the-nile-side-tie-layette-set-hello-goodbye-ice-blue.html",,,,"United States",920,1058,,1,838,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>上衣側綁，袖口可反摺包覆</li>
<li>連腳套長褲可保護寶寶腿部，腳部與小腳丫</li>
<li>彈性佳的腰部設計不會太緊且不易鬆落</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","適合嬰幼兒日常家居穿著，質感柔軟，舒適透氣且吸汗，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,,,6,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側綁嬰兒衣褲組(藍)",0,"simple",,
"admin","base","Default","simple","I2-822-306-NB-UN",0,"有機認證埃及棉-側扣嬰兒長袍(粉)","under-the-nile-side-snap-baby-gown-hello-goodbye-print-blush","Use config","Use config","Block after Info Column","under-the-nile-side-snap-baby-gown-hello-goodbye-print-blush.html",,,,"United States",890,1089,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>側扣和服連身長袍設計方便穿脫換洗</li>
<li>袖口可反摺包覆</li>
<li>可替代包巾單獨穿著</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","適合春夏及冷氣房穿著，質感柔軟舒適透氣且吸汗，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,,,2,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側扣嬰兒長袍(粉)",0,"simple",,
"admin","base","Default","simple","I2-822-307-NB-UN",0,"有機認證埃及棉-側扣嬰兒長袍(藍)","under-the-nile-side-snap-baby-gown-hello-goodbye-ice-blue","Use config","Use config","Block after Info Column","under-the-nile-side-snap-baby-gown-hello-goodbye-ice-blue.html",,,,"United States",890,1089,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>側扣和服連身長袍設計方便穿脫換洗</li>
<li>袖口可反摺包覆</li>
<li>可替代包巾單獨穿著</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","適合春夏及冷氣房穿著，質感柔軟舒適透氣且吸汗，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,,,4,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側扣嬰兒長袍(藍)",0,"simple",,
"admin","base","Default","simple","I2-819-306-NB-UN",0,"有機認證埃及棉-側扣連身包腳兔裝(粉)","under-the-nile-side-snap-footie-hello-goodbye-print-blush","Use config","Use config","Block after Info Column","under-the-nile-side-snap-footie-hello-goodbye-print-blush.html",,,,"United States",890,1089,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>連身套腳設計方便穿脫換洗</li>
<li>袖口可反摺包覆</li>
<li>質感柔軟舒適透氣又吸汗且方便懷抱</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","全年度適穿，冬天當內著，夏天冷氣房及春秋適合日常衣著，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,,,3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側扣連身包腳兔裝(粉)",0,"simple",,
"admin","base","Default","simple","I2-819-307-NB-UN",0,"有機認證埃及棉-側扣連身包腳兔裝(藍)","under-the-nile-side-snap-footie-hello-goodbye-ice-blue","Use config","Use config","Block after Info Column","under-the-nile-side-snap-footie-hello-goodbye-ice-blue.html",,,,"United States",890,1089,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>連身套腳設計方便穿脫換洗</li>
<li>袖口可反摺包覆</li>
<li>質感柔軟舒適透氣又吸汗且方便懷抱</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","全年度適穿，冬天當內著，夏天冷氣房及春秋適合日常衣著，有粉紅和粉藍2種花色，五種英文、西班牙、義大利文、法文和中文Hello Goodbye的文字圖案，為衣褲增添一股文化氣息，送禮自用兩相宜，內附心形寶寶卡，備感溫馨。",,,,6,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-側扣連身包腳兔裝(藍)",0,"simple",,
"admin","base","Default","simple","I20-776-273-BU-UN",0,"有機認證!透氣棉紗嬰兒帽","under-the-nile-bakers-hat-sage-yellow-animal-print","Use config","Use config","Block after Info Column","under-the-nile-bakers-hat-sage-yellow-animal-print.html",,,,"United States",360,420,,1,299,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>有機認證，天然顏色素染</li>
<li>麵包師造型鬆緊度適中</li>
<li>帽緣部分可視天氣而調整高低保護耳朵與額頭</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒到6個月</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","美國進口可愛動物圖案，有機棉薄紗織布嬰兒帽，輕盈柔軟，可保護並保暖初生嬰兒頭部，透氣舒適又吸汗，可搭配相同薄紗織布服飾或其他服飾。",,,,6,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證!透氣棉紗嬰兒帽",0,"simple",,
"admin","base","Default","simple","I20-775-273-TG-UN",0,"有機認證!透氣棉紗側綁連身和服","under-the-nile-side-tie-kimono-with-two-ties-sage-yellow-animal-print","Use config","Use config","Block after Info Column","under-the-nile-side-tie-kimono-with-two-ties-sage-yellow-animal-print.html",,,,"United States",890,1089,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>側綁和服連身長褲設計方便穿脫換洗</li>
<li>胸腹部雙層包覆不用擔心受涼</li>
<li>鬆緊束腳不易鬆動可保護腳踝</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒到3個月   </li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","美國進口可愛動物圖案，有機棉薄紗織布側綁長袖和服，非常適合春夏剛出生的寶寶，棉紗質感柔軟舒適、透氣吸汗。可搭配包巾及睡袍、安撫巾、安撫玩偶等其他相關商品。",,,,4,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證!透氣棉紗側綁連身和服",0,"simple",,
"admin","base","Default","simple","I20-713-273-TG-UN",0,"有機認證!透氣有機棉紗側扣肚衣長褲組","under-the-nile-side-snap-shirt-with-rolled-waist-pant-sage-yellow-animal-print","Use config","Use config","Block after Info Column","under-the-nile-side-snap-shirt-with-rolled-waist-pant-sage-yellow-animal-print.html",,,,"United States",980,1175,,1,838,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>側扣及底部包屁設計穿脫換洗很容易</li>
<li>腰圍反翻可覆蓋胸腹部增加保暖度</li>
<li>連腳套設計可保護寶寶腿部,腳部與小腳丫，不再擔心襪子掉落問題</li>
<p></p>
<h3>尺寸：</h3>
<li>新生兒到3個月   </li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","可愛動物圖案，有機棉薄紗織布，側扣長袖連身及底部包屁設計是新生兒內著的最佳選擇，柔軟舒適的連腳套長褲非常適合日常家居穿著，不但方便換洗，袖口可反摺兼具手套效用，袖口外翻可讓小手探索世界，滿足寶寶的好奇心。",,,,6,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證!透氣有機棉紗側扣肚衣長褲組",0,"simple",,
"admin","base","Default","simple","I2-836-304-TG-UN",0,"有機認證埃及棉-連身包屁洋裝","under-the-nile-zen-dress-with-bloomer-sherbert-stripe","Use config","Use config","Block after Info Column","under-the-nile-zen-dress-with-bloomer-sherbert-stripe.html",,,,"United States",935,1128,,1,778,,"Catalog, Search","No","Yes","No","Enabled","Under The Nile","None","<span style=""font-size:12px;"">
<h3>產品特色：</h3>
<li>底部按扣包屁設計穿脫換洗很容易</li>
<li>彈性佳的腰部設計不會太緊</li>
<li>越洗越柔軟，呵護寶寶細嫩肌膚</li>
<p></p>
<h3>尺寸：</h3>
<li>6到9個月</li>
<h3>材質：</h3>
<li>100%埃及認證有機棉</li>
<p></p>
<h3>洗滌方式：</h3>
<li>可洗衣機洗滌,低溫烘乾</li>","100% GOTS 認證有機埃及棉製造，春夏季最舒適的穿著，可愛連身無鎳按扣包屁設計，方便換洗尿布，棉紗質感非常柔軟舒適，透氣又吸汗，多彩條紋圖案，讓你的寶寶成為人見人愛的小公主。",,,,6,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"有機認證埃及棉-連身包屁洋裝",0,"simple",,
